operations,collisions,comparisons,succ_search,succ_comp,fail_search,fail_comp
1,0,1,0,0,0,0
2,0,2,0,0,1,1
3,0,3,0,0,1,1
4,0,4,0,0,1,1
5,0,5,0,0,2,2
6,0,6,0,0,2,2
7,0,7,0,0,2,2
8,0,8,1,1,2,2
12,0,12,1,1,2,2
13,0,13,1,1,3,3
14,0,14,1,1,4,4
15,1,16,1,1,4,4
16,1,16,1,1,4,4
22,1,22,1,1,4,4
23,1,23,2,2,4,4
24,1,24,2,2,5,5
25,1,25,2,2,6,6
26,1,26,2,2,6,6
27,1,27,2,2,7,7
28,1,28,2,2,7,7
29,1,29,2,2,7,7
30,1,29,2,2,7,7
31,2,31,2,2,7,7
32,2,31,2,2,7,7
33,2,32,3,3,7,7
34,2,33,4,4,7,7
35,2,34,4,4,8,8
36,2,35,5,5,8,8
46,2,45,5,5,8,8
47,2,47,5,5,8,8
48,2,48,5,5,8,8
49,2,48,5,5,8,8
50,2,49,5,5,8,8
51,2,50,5,5,8,8
52,2,51,5,5,8,8
53,2,52,5,5,9,9
54,2,53,5,5,10,10
55,2,54,5,5,11,11
56,2,55,5,5,11,11
57,2,55,5,5,11,11
58,2,55,5,5,11,11
59,2,56,6,6,11,11
60,2,57,6,6,11,11
61,2,58,6,6,12,12
62,2,59,6,6,12,12
63,2,60,6,6,12,12
64,2,60,6,6,12,12
65,2,61,6,6,12,12
66,2,62,7,7,12,12
84,2,80,7,7,12,12
85,2,80,7,7,12,12
86,2,81,8,8,12,12
87,2,82,8,8,13,13
88,3,84,8,8,14,15
89,3,85,8,8,14,15
90,3,86,9,9,14,15
91,3,87,9,9,14,15
92,3,87,9,9,14,15
93,3,88,9,9,14,15
94,3,89,9,9,14,15
95,3,89,9,9,14,15
96,3,89,9,9,14,15
97,3,90,9,9,14,15
98,3,91,9,9,14,15
99,3,92,9,9,15,16
100,3,93,10,10,15,16
101,3,94,10,10,15,16
102,3,94,10,10,15,16
103,3,95,10,10,16,17
104,3,96,10,10,16,17
105,3,97,10,10,16,17
106,3,98,10,10,17,18
107,3,98,10,10,17,18
108,3,99,10,10,17,18
109,3,99,10,10,17,18
110,4,101,10,10,17,18
111,4,101,10,10,17,18
112,4,102,11,11,17,18
113,5,104,11,11,17,18
114,5,105,11,11,18,19
115,5,105,11,11,18,19
116,6,107,11,11,18,19
117,6,108,11,11,18,19
118,6,109,11,11,18,19
119,6,110,11,11,18,19
120,6,111,12,12,18,19
121,6,112,12,12,19,20
122,6,113,13,13,19,20
